channel_id,call_sign,display_name,city,state,source,site,site_id,match_method,confidence,reason
CineRomancebyPlutoTV.de,,Cine Romance by Pluto TV,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/fr#60812fc8539963000707d1e1,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
CineRomantico.us,,Cine Romantico,,,i.mjh.nz/roku,i.mjh.nz,Roku/all#79eb3a43680e5a9f9689fee074502a3b,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/roku guide-source list
CineSciFibyPlutoTV.de,,Cine Sci-Fi by Pluto TV,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/fr#60c34592c911890007f29a73,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
CineTerror.us,,Cine Terror,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/us#5d8d180092e97a5e107638d3,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
CineThrillersbyPlutoTV.de,,Cine Thrillers by Pluto TV,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/fr#60c3472a51a2050008dad272,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
CineWestern.es,,Cine Western,,,i.mjh.nz/plex,i.mjh.nz,Plex/es#643054b1fc3be59477853717-66ea174c9502c5778b828d47,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/plex guide-source list
CineWestern.fr,,Cine Western,,,i.mjh.nz/plex,i.mjh.nz,Plex/fr#6430aa45fc3be5947780904e-65847f56d60830ce4d4f303c,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/plex guide-source list
CineWesternbyPlutoTV.de,,Cine Western by Pluto TV,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/fr#65cca3e2ec452d0008af3a65,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
CinebyPlutoTV.de,,Cine by Pluto TV,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/fr#5f8ed0f17564a300082b676a,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
CinedAsiebyPlutoTV.de,,Cine d'Asie by Pluto TV,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/fr#62f3e2d000418d00070f7dbc,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
